County,MCA Sitting Allowances,,,,
"","BudgetaryAllocation(Kshs)","Expenditure(Kshs)",Absorption %,"No. of MCAs& Speaker","Average monthlysitting allowancePer MCA (Kshs)"
"",A,B,C=B/A*100,D,E=B/D/12
Baringo,"50,207,630","49,864,462",99.3,49,"84,804"
Bomet,"28,296,015","28,296,015",100.0,35,"67,371"
Bungoma,"105,704,600","71,419,180",67.6,64,"92,994"
Busia,"114,816,000","98,926,596",86.2,54,"152,665"
Elgeyo/Marakwet,"41,496,000","41,495,999",100.0,31,"111,548"
Embu,"38,592,669","36,529,898",94.7,34,"89,534"
Garissa,"80,906,400","75,970,850",93.9,49,"129,202"
Homa Bay,"129,322,306","114,192,000",88.3,64,"148,688"
Isiolo,"16,758,400","16,673,316",99.5,21,"66,164"
Kajiado,"66,326,400","37,498,500",56.5,42,"74,402"
Kakamega,"142,485,600","106,731,136",74.9,88,"101,071"
Kericho,"77,068,503","71,097,114",92.3,48,"123,432"
Kiambu,"100,000,000","100,000,000",100.0,88,"94,697"
Kilifi,"83,194,800","65,035,700",78.2,55,"98,539"
Kirinyaga,"61,526,400","37,436,000",60.8,30,"103,989"
Kisii,"90,411,955","133,338,048",147.5,72,"154,326"
Kisumu,"113,710,659","60,348,300",53.1,50,"100,581"
Kitui,"63,626,000","59,197,747",93.0,57,"86,546"
Kwale,"39,794,470","38,049,852",95.6,34,"93,259"
Laikipia,"32,100,000","31,516,200",98.2,24,"109,431"
Lamu,"24,102,400","21,486,400",89.1,21,"85,263"
Machakos,"69,028,000","60,993,900",88.4,60,"84,714"
Makueni,"51,390,000","52,354,830",101.9,48,"90,894"
Mandera,"50,000,000","49,686,062",99.4,49,"84,500"
Marsabit,"40,000,000","39,999,917",100.0,34,"98,039"
Meru,"123,972,445","100,700,610",81.2,70,"119,882"
Migori,"126,883,200","72,050,332",56.8,63,"95,305"
Mombasa,"97,843,200","57,435,200",58.7,43,"111,309"
Murang’a,"117,734,000","49,782,782",42.3,50,"82,971"
Nairobi City,"152,270,700","122,041,420",80.1,128,"79,454"
Nakuru,"87,455,000","79,599,414",91.0,75,"88,444"
Nandi,"65,400,000","58,703,900",89.8,49,"99,837"
Narok,"52,213,292","45,228,100",86.6,48,"78,521"
Nyamira,"67,775,430","67,775,430",100.0,34,"166,116"
Nyandarua,"66,364,927","68,158,594",102.7,42,"135,235"
Nyeri,"97,857,600","64,156,300",65.6,48,"111,382"
Samburu,"42,968,290","44,661,374",103.9,27,"137,844"
Siaya,"86,221,838","69,470,881",80.6,49,"118,148"
Taita/Taveta,"58,060,800","31,445,700",54.2,36,"72,791"
Tana River,"55,702,400","28,307,880",50.8,27,"87,370"
Tharaka –Nithi,"34,923,600","23,923,600",68.5,25,"79,745"
Trans Nzoia,"78,124,800","75,448,000",96.6,40,"157,183"
Turkana,"64,900,000","34,596,900",53.3,48,"60,064"
Uasin Gishu,"41,320,300","41,320,300",100.0,45,"76,519"
Vihiga,"108,549,088","89,263,894",82.2,40,"185,966"
Wajir,"60,220,000","42,121,090",69.9,45,"78,002"
West Pokot,"52,288,628","52,288,628",100.0,33,"132,042"
Total,"3,449,914,745","2,816,618,351",81.6,"2,266","103,583"
